# One row per public field of the client, server and publisher copies, in digest order.
# owner: client | server | publisher. digest: how StateDigest folds it (raw bits, bool byte, int, long, unsigned byte, enum id, enum ordinal, tail = the retained movement list, again = a second fold of an inherited field, none). The publisher's rows reach only the boundary digest.
# future: read = the next step reads it, so it names the future; unread = the next step overwrites it first; partial = compared through a derived value the comparison names.
# schema: the first boundary schema that carries the field.
owner	name	type	digest	future	schema
client	x	double	raw	read	1
client	y	double	raw	read	1
client	z	double	raw	read	1
client	deltaMovementX	double	raw	read	1
client	deltaMovementY	double	raw	read	1
client	deltaMovementZ	double	raw	read	1
client	yRot	float	raw	unread	1
client	xRot	float	raw	unread	1
client	boundingBoxMinX	double	raw	read	1
client	boundingBoxMinY	double	raw	read	1
client	boundingBoxMinZ	double	raw	read	1
client	boundingBoxMaxX	double	raw	read	1
client	boundingBoxMaxY	double	raw	read	1
client	boundingBoxMaxZ	double	raw	read	1
client	onGround	boolean	bool	read	1
client	horizontalCollision	boolean	bool	read	1
client	verticalCollision	boolean	bool	read	1
client	verticalCollisionBelow	boolean	bool	read	1
client	minorHorizontalCollision	boolean	bool	read	1
client	mainSupportingBlockPosPresent	boolean	bool	read	1
client	mainSupportingBlockPosX	int	int	read	1
client	mainSupportingBlockPosY	int	int	read	1
client	mainSupportingBlockPosZ	int	int	read	1
client	onGroundNoBlocks	boolean	bool	read	1
client	fallDistance	double	raw	read	1
client	waterHeight	double	raw	read	1
client	lavaHeight	double	raw	read	1
client	eyeInWater	boolean	bool	read	1
client	stuckSpeedMultiplierX	double	raw	read	1
client	stuckSpeedMultiplierY	double	raw	read	1
client	stuckSpeedMultiplierZ	double	raw	read	1
client	isInPowderSnow	boolean	bool	read	1
client	wasInPowderSnow	boolean	bool	read	1
client	ticksFrozen	int	int	read	1
client	canFreeze	boolean	bool	read	1
client	frostSpeedTicks	int	int	read	1
client	movementSpeedMultiplier	double	raw	read	1
client	sprintingAttribute	boolean	bool	read	1
client	foodLevel	int	int	read	1
client	jumpBoostPower	float	raw	read	1
client	canWalkOnPowderSnow	boolean	bool	read	1
client	sprintWindowTicks	int	int	read	1
client	autoJumpEnabled	boolean	bool	read	1
client	fastLava	boolean	bool	read	1
client	mayfly	boolean	bool	read	1
client	flying	boolean	bool	read	1
client	flyingSpeed	float	raw	read	1
client	sprinting	boolean	bool	read	1
client	swimming	boolean	bool	read	1
client	fallFlying	boolean	bool	read	1
client	fallFlyTicks	int	int	read	1
client	gliderUsable	boolean	bool	read	1
client	sharedFlagsResidual	byte	unsigned	read	1
client	pose	com.nettarion.stride.simulator.PlayerState$Pose	id	read	1
client	xxa	float	raw	unread	1
client	yya	float	raw	read	1
client	zza	float	raw	unread	1
client	jumping	boolean	bool	unread	1
client	sprintTriggerTime	int	int	read	1
client	jumpTriggerTime	int	int	read	1
client	autoJumpTime	int	int	read	1
client	noJumpDelay	int	int	read	1
client	crouching	boolean	bool	unread	1
client	inputKeyPresses	byte	unsigned	partial	1
client	inputMoveVectorX	float	raw	unread	1
client	inputMoveVectorY	float	raw	read	1
server	publicationScheduleKnown	boolean	bool	read	1
server	movementSpeedAttributeDirty	boolean	bool	read	1
server	entityDataDirty	int	int	read	1
server	awaitingTeleport	int	int	unread	1
server	connectionTickCount	int	int	unread	1
server	receivedMovePacketCount	int	int	unread	1
server	knownMovePacketCount	int	int	unread	1
server	awaitingTeleportTime	int	int	unread	1
server	firstGoodX	double	raw	unread	1
server	firstGoodY	double	raw	unread	1
server	firstGoodZ	double	raw	unread	1
server	lastGoodX	double	raw	unread	1
server	lastGoodY	double	raw	unread	1
server	lastGoodZ	double	raw	unread	1
server	awaitingPositionX	double	raw	unread	1
server	awaitingPositionY	double	raw	unread	1
server	awaitingPositionZ	double	raw	unread	1
server	currentImpulseImpactPosPresent	boolean	bool	read	1
server	currentImpulseImpactPosX	double	raw	read	1
server	currentImpulseImpactPosY	double	raw	read	1
server	currentImpulseImpactPosZ	double	raw	read	1
server	movementAxisDependent	boolean	bool	read	1
server	additionalMovements	tail	tail	read	1
server	movementThisTickPresent	boolean	bool	read	1
server	movementFromX	double	raw	read	1
server	movementFromY	double	raw	read	1
server	movementFromZ	double	raw	read	1
server	movementToX	double	raw	read	1
server	movementToY	double	raw	read	1
server	movementToZ	double	raw	read	1
server	movementRequestedX	double	raw	read	1
server	movementRequestedZ	double	raw	read	1
server	lastSentHealth	float	raw	read	1
server	lastSentFood	int	int	read	1
server	lastFoodSaturationZero	boolean	bool	read	1
server	sharedFlagOnFire	boolean	bool	read	1
server	lastSentSharedFlags	int	int	read	1
server	lastSentPose	com.nettarion.stride.simulator.PlayerState$Pose	ordinal	read	1
server	lastSentTicksFrozen	int	int	read	1
server	lastSentFrostSpeedTicks	int	int	read	1
server	playerMovementCheck	boolean	bool	read	1
server	elytraMovementCheck	boolean	bool	read	1
server	singleplayerOwner	boolean	bool	read	1
server	currentImpulseContextResetGraceTime	int	int	read	1
server	foodLevel	int	again	read	1
server	saturationLevel	float	raw	read	1
server	exhaustionLevel	float	raw	read	1
server	tickTimer	int	int	read	1
server	naturalRegeneration	boolean	bool	read	1
server	fallDamage	boolean	bool	read	2
server	fireDamage	boolean	bool	read	2
server	drowningDamage	boolean	bool	read	2
server	freezeDamage	boolean	bool	read	2
server	difficulty	com.nettarion.stride.simulator.ServerPlayerState$Difficulty	ordinal	read	1
server	health	float	raw	read	1
server	maximumHealth	float	raw	read	1
server	absorption	float	raw	read	1
server	invulnerableTime	int	int	read	1
server	lastHurt	float	raw	read	1
server	remainingFireTicks	int	int	read	1
server	airSupply	int	int	read	1
server	tickCount	long	long	partial	1
server	clientIsFloating	boolean	bool	read	1
server	floatingUnknown	boolean	bool	read	1
server	aboveGroundTickCount	int	int	read	1
server	lastKnownClientMovementX	double	raw	read	1
server	lastKnownClientMovementY	double	raw	unread	1
